Age,CityTier,NumberOfPersonVisiting,PreferredPropertyStar,NumberOfTrips,NumberOfChildrenVisiting,MonthlyIncome,PitchSatisfactionScore,NumberOfFollowups,DurationOfPitch,TypeofContact,Occupation,Gender,MaritalStatus,Designation,ProductPitched,Passport,OwnCar
44.0,1,3,3.0,2.0,0.0,22879.0,4,1.0,8.0,Self Enquiry,Salaried,Female,Married,Senior Manager,Standard,1,1
35.0,3,3,3.0,3.0,2.0,27306.0,1,4.0,20.0,Self Enquiry,Small Business,Male,Married,Senior Manager,Standard,0,1
47.0,3,4,5.0,3.0,2.0,29131.0,2,4.0,7.0,Self Enquiry,Small Business,Female,Married,Senior Manager,Standard,0,1
32.0,1,3,4.0,2.0,0.0,21220.0,3,3.0,6.0,Self Enquiry,Salaried,Male,Married,Manager,Deluxe,0,1
59.0,1,3,3.0,6.0,2.0,21157.0,2,4.0,9.0,Self Enquiry,Large Business,Male,Single,Executive,Basic,0,1
44.0,3,2,4.0,1.0,1.0,33213.0,5,3.0,11.0,Self Enquiry,Small Business,Male,Divorced,VP,King,0,1
32.0,1,2,4.0,2.0,0.0,17837.0,3,4.0,35.0,Self Enquiry,Salaried,Female,Single,Executive,Basic,0,1
27.0,3,3,3.0,3.0,2.0,23974.0,5,4.0,7.0,Self Enquiry,Salaried,Male,Married,Manager,Deluxe,0,0
38.0,3,2,3.0,4.0,1.0,20249.0,5,4.0,8.0,Company Invited,Salaried,Male,Divorced,Manager,Deluxe,0,1
32.0,1,3,3.0,2.0,1.0,23499.0,4,4.0,12.0,Self Enquiry,Large Business,Male,Married,Executive,Basic,1,1
40.0,1,3,3.0,2.0,1.0,18319.0,3,3.0,30.0,Self Enquiry,Large Business,Male,Married,Manager,Deluxe,0,1
38.0,1,3,3.0,3.0,1.0,22963.0,1,4.0,20.0,Self Enquiry,Small Business,Male,Married,Manager,Deluxe,0,0
35.0,3,3,3.0,2.0,0.0,23789.0,5,3.0,6.0,Company Invited,Small Business,Fe Male,Unmarried,Senior Manager,Standard,0,1
35.0,1,3,5.0,2.0,1.0,17074.0,1,3.0,8.0,Self Enquiry,Salaried,Female,Married,Executive,Basic,1,1
34.0,1,3,3.0,2.0,1.0,22086.0,5,6.0,17.0,Self Enquiry,Small Business,Male,Married,Executive,Basic,0,0
33.0,1,3,4.0,3.0,1.0,21515.0,3,5.0,36.0,Self Enquiry,Salaried,Female,Unmarried,Executive,Basic,0,1
51.0,1,3,3.0,4.0,0.0,17075.0,3,3.0,15.0,Self Enquiry,Salaried,Male,Divorced,Executive,Basic,0,1
29.0,3,2,5.0,2.0,1.0,16091.0,3,1.0,30.0,Company Invited,Large Business,Male,Single,Executive,Basic,0,1
34.0,3,3,3.0,1.0,2.0,20304.0,2,2.0,25.0,Company Invited,Small Business,Male,Single,Manager,Deluxe,1,1
38.0,1,2,3.0,6.0,1.0,32342.0,2,4.0,14.0,Self Enquiry,Small Business,Male,Single,Senior Manager,Standard,0,0
46.0,1,3,5.0,1.0,0.0,24396.0,2,3.0,6.0,Self Enquiry,Small Business,Male,Married,Senior Manager,Standard,0,0
54.0,2,2,4.0,3.0,0.0,25725.0,3,3.0,25.0,Self Enquiry,Small Business,Male,Divorced,Senior Manager,Standard,0,1
56.0,1,2,3.0,1.0,0.0,26103.0,4,3.0,15.0,Self Enquiry,Small Business,Male,Married,AVP,Super Deluxe,0,0
30.0,1,2,3.0,19.0,1.0,17285.0,4,3.0,10.0,Company Invited,Large Business,Male,Single,Executive,Basic,1,1
26.0,1,3,5.0,1.0,2.0,17867.0,5,3.0,6.0,Self Enquiry,Small Business,Male,Single,Executive,Basic,0,1
33.0,1,2,3.0,1.0,0.0,26691.0,4,3.0,13.0,Self Enquiry,Small Business,Male,Married,Senior Manager,Standard,0,1
24.0,1,3,4.0,2.0,1.0,17127.0,3,4.0,23.0,Self Enquiry,Salaried,Male,Married,Executive,Basic,0,1
30.0,1,4,3.0,2.0,3.0,25062.0,5,6.0,36.0,Self Enquiry,Salaried,Male,Married,Manager,Deluxe,0,1
33.0,3,3,4.0,1.0,0.0,20147.0,1,3.0,8.0,Company Invited,Small Business,Female,Single,Manager,Deluxe,0,0
53.0,3,2,4.0,3.0,0.0,22525.0,1,4.0,8.0,Company Invited,Small Business,Female,Married,Senior Manager,Standard,0,1
29.0,3,3,5.0,2.0,2.0,23576.0,3,4.0,14.0,Company Invited,Salaried,Male,Unmarried,Manager,Deluxe,0,1
39.0,1,2,5.0,2.0,0.0,20151.0,4,3.0,15.0,Self Enquiry,Small Business,Male,Married,Manager,Deluxe,0,1
46.0,3,4,4.0,2.0,3.0,23483.0,5,4.0,9.0,Self Enquiry,Salaried,Male,Married,Manager,Deluxe,0,1
35.0,1,3,4.0,2.0,1.0,30672.0,3,4.0,14.0,Self Enquiry,Salaried,Female,Single,Senior Manager,Standard,0,1
35.0,3,4,3.0,8.0,1.0,20909.0,5,4.0,9.0,Company Invited,Small Business,Female,Married,Executive,Basic,0,0
33.0,1,4,4.0,8.0,3.0,21010.0,3,5.0,7.0,Company Invited,Salaried,Female,Married,Executive,Basic,0,0
29.0,1,2,3.0,2.0,0.0,21623.0,4,4.0,16.0,Company Invited,Salaried,Female,Unmarried,Executive,Basic,0,1
41.0,3,2,3.0,1.0,1.0,21230.0,1,3.0,16.0,Company Invited,Salaried,Male,Single,Manager,Deluxe,0,0
